feature,auc_without,auc_drop,drop_ci_lo,drop_ci_hi
empathy_rate,0.7886363636363636,0.1193939393939395,0.04294184158583969,0.1958460372020393
negation_rate,0.897878787878788,0.010151515151515023,-0.04828037001018978,0.06858340031321983
wc_balance,0.9012121212121211,0.006818181818181945,-0.04972430778113413,0.06336067141749802
agreement_rate,0.9042424242424243,0.0037878787878787845,-0.05463404417207297,0.062209801747830536
emp_agr_interact,0.9075757575757575,0.00045454545454559625,-0.057518523580951844,0.05842761449004304
lag1_autocorr,0.9075757575757577,0.0004545454545453742,-0.05852147310059157,0.059430564009682316
sent_diff_ab,0.9086363636363638,-0.000606060606060721,-0.05803276212319513,0.05682064091107369
sent_mean,0.9107575757575758,-0.0027272727272726893,-0.06098078873561288,0.0555262432810675
sent_std,0.9119696969696971,-0.00393939393939402,-0.06081406603234813,0.05293527815356009
oscillation_rate,0.9133333333333334,-0.005303030303030365,-0.06411462797571907,0.053508567369658346
question_rate,0.9134848484848486,-0.00545454545454549,-0.0641123881000617,0.05320329719097073
mean_ttr,0.9193939393939394,-0.011363636363636354,-0.06842160648787492,0.04569433376060221
