transcript_id,mi_quality,zone,cohesion,flexibility,communication,comm_quality,robot_role,intervention_mode,empathy_intensity,communication_boost,intervention_urgency,scheduler_trigger,scheduler_priority
0,high,rigid-enmeshed,89.08,60.59,71.39,open,DIVERSIFY,flexibility_boost,0.522,0.3,0.8097887378816773,True,2
1,high,chaotic-enmeshed,75.91,73.64,78.95,open,MODERATE,boundary_set,0.428,0.2,0.7014777829696389,True,3
2,high,chaotic-enmeshed,83.36,71.98,87.05,open,MODERATE,boundary_set,0.449,0.2,0.7990018773444778,False,3
3,high,chaotic-disengaged,64.67,68.62,70.33,open,STABILIZE,structure_build,0.737,0.5,0.4740942100469063,True,4
4,high,rigid-enmeshed,78.25,62.04,74.31,open,DIVERSIFY,flexibility_boost,0.52,0.3,0.6141739493010103,False,2
5,high,chaotic-enmeshed,89.79,68.0,81.12,open,MODERATE,boundary_set,0.424,0.2,0.8734401181535002,True,3
6,high,chaotic-enmeshed,73.44,66.11,81.77,open,MODERATE,boundary_set,0.441,0.2,0.568846446767491,False,3
7,high,rigid-enmeshed,84.15,55.98,78.96,open,DIVERSIFY,flexibility_boost,0.53,0.3,0.6933925006805309,False,2
8,high,chaotic-enmeshed,82.56,77.04,83.22,open,MODERATE,boundary_set,0.449,0.2,0.8464786352885701,True,3
9,low,chaotic-disengaged,56.26,72.01,78.57,open,STABILIZE,structure_build,0.705,0.5,0.45765825678119265,True,4
10,low,chaotic-disengaged,46.66,67.08,62.0,moderate,STABILIZE,structure_build,0.7,0.523,0.348070107880582,False,4
11,high,chaotic-disengaged,55.34,72.11,77.5,open,STABILIZE,structure_build,0.718,0.5,0.4549143655678506,False,4
12,high,chaotic-enmeshed,77.94,67.62,78.21,open,MODERATE,boundary_set,0.433,0.2,0.6606384790488669,True,3
13,high,chaotic-enmeshed,87.22,66.99,80.0,open,MODERATE,boundary_set,0.453,0.2,0.8182880910779528,False,3
14,high,chaotic-enmeshed,89.88,71.35,79.2,open,MODERATE,boundary_set,0.428,0.2,0.9047070022941128,False,3
15,low,chaotic-enmeshed,66.68,76.2,75.91,open,MODERATE,boundary_set,0.417,0.2,0.6211802958884,False,3
16,high,chaotic-enmeshed,67.55,71.26,80.0,open,MODERATE,boundary_set,0.407,0.2,0.551358358964476,False,3
17,low,chaotic-disengaged,64.27,66.42,84.44,open,STABILIZE,structure_build,0.739,0.5,0.43508587658070447,True,4
18,high,chaotic-enmeshed,71.8,70.9,81.97,open,MODERATE,boundary_set,0.415,0.2,0.6040033112492017,True,3
19,high,rigid-enmeshed,87.27,46.81,60.62,moderate,DIVERSIFY,flexibility_boost,0.557,0.32,0.7481253905596306,False,2
20,high,chaotic-enmeshed,79.16,79.21,79.17,open,MODERATE,boundary_set,0.442,0.2,0.825476759212517,True,3
21,high,chaotic-enmeshed,88.99,67.55,80.22,open,MODERATE,boundary_set,0.431,0.2,0.8551543954164066,False,3
22,high,rigid-enmeshed,73.75,60.18,66.4,open,DIVERSIFY,flexibility_boost,0.529,0.3,0.5167958591165375,False,2
23,high,chaotic-disengaged,63.27,75.5,68.25,open,STABILIZE,structure_build,0.759,0.5,0.5749236123173235,True,4
24,high,chaotic-enmeshed,80.41,80.1,80.0,open,MODERATE,boundary_set,0.42,0.2,0.8557518565565603,True,3
25,high,chaotic-enmeshed,88.6,74.11,80.0,open,MODERATE,boundary_set,0.437,0.2,0.9102202151128043,False,3
26,high,chaotic-enmeshed,68.92,73.16,59.14,moderate,MODERATE,boundary_set,0.448,0.218,0.5981143703339687,False,3
27,low,rigid-enmeshed,69.14,51.83,75.88,open,DIVERSIFY,flexibility_boost,0.522,0.3,0.38454570599604937,False,2
28,high,rigid-enmeshed,88.45,64.49,79.02,open,DIVERSIFY,flexibility_boost,0.539,0.3,0.8217937940870569,True,2
29,high,chaotic-enmeshed,83.96,69.44,77.63,open,MODERATE,boundary_set,0.409,0.2,0.7826097878253248,True,3
30,high,chaotic-disengaged,64.02,70.34,79.11,open,STABILIZE,structure_build,0.71,0.5,0.49407529790508653,True,4
